species,gmin,units,area
Hippocrepis comosa,6.92,10^5 ms-1,allsided
Helianthemum apenninum,10.1,10^5 ms-1,allsided
Geranium sanguineum,5.25,10^5 ms-1,allsided
Sanguisorba minor,7.3,10^5 ms-1,allsided
Sesleria albicans,5.76,10^5 ms-1,allsided
Pulsatilla vulgaris,7.69,10^5 ms-1,allsided
Teucrium chamaedrys,4.32,10^5 ms-1,allsided
Salvia pratensis,8.21,10^5 ms-1,allsided
Salvia pratensis,6.41,10^5 ms-1,allsided
Plantago lanceolata,9.35,10^5 ms-1,allsided
