species,clone,gmin,units,area,comments
Camellia sinensis,2023,0.039494,cm s-1,projected,"mean value for time >45min, table 1"
Camellia sinensis,T 5/3,0.018975,cm s-1,projected,"mean value for time >45min, table 1"
