species,gmin,units,area
Acer campestre,2.8,10^5 ms-1,allsided
Fagus sylvatica,3.9,10^5 ms-1,allsided
Quercus petraea,5.8,10^5 ms-1,allsided
Ilex aquifolium,0.7,10^5 ms-1,allsided
Hedera helix,0.73,10^5 ms-1,allsided
Hedera helix,0.28,10^5 ms-1,allsided
