code,species,population,treatment,transpiration,lma,gmin,area,units
58,hakea sericea,richmond,d,0.315829577,432.0303568,4.341310394,projected,mmol m-2 s-1
63,hakea lorea,western australia,w,0.230610442,442.4845346,8.453094822,projected,mmol m-2 s-1
64,hakea dactyloides,barrier mountain,d,0.04032666,180.3662,2.217278698,projected,mmol m-2 s-1
70,hakea leucoptera,tibooburra,d,0.177394444,632.928026,4.876834846,projected,mmol m-2 s-1
71,hakea leucoptera,tibooburra,d,0.123694471,628.32974,3.400543415,projected,mmol m-2 s-1
77,hakea dactyloides,woodford,d,0.031210049,148.195362,1.71602053,projected,mmol m-2 s-1
78,hakea dactyloides,woodford,d,0.038825548,139.23685,2.134743128,projected,mmol m-2 s-1
83,hakea salicifolia,angustifolia,w,0.081246556,180.9816361,4.467175266,projected,mmol m-2 s-1
87,hakea prostrata,inland,d,0.022492487,195.0701908,1.236703285,projected,mmol m-2 s-1
88,hakea prostrata,inland,w,0.107214605,198.9870456,4.912479321,projected,mmol m-2 s-1
98,hakea leucoptera,toorale,d,0.062365889,515.329874,2.286040355,projected,mmol m-2 s-1
103,hakea petiolaris,perth,d,0.013972209,171.416886,0.768233249,projected,mmol m-2 s-1
104,hakea petiolaris,perth,d,0.021235896,169.3655687,0.898163244,projected,mmol m-2 s-1
108,hakea lorea,western australia,d,0.124993386,600.7273159,4.908932154,projected,mmol m-2 s-1
109,hakea lorea,western australia,d,0.149042141,614.5167496,5.853411755,projected,mmol m-2 s-1
110,hakea lorea,western australia,d,0.133265548,605.236984,5.233809177,projected,mmol m-2 s-1
117,hakea leucoptera,tibooburra,d,0.111180926,635.1666666,3.056527617,projected,mmol m-2 s-1
126,hakea propinqua,blue mountains,d,0.180936582,552.0813809,6.632284617,projected,mmol m-2 s-1
127,hakea propinqua,blue mountains,d,0.10575982,534.2896539,3.876657888,projected,mmol m-2 s-1
132,hakea prostrata,west,w,0.152662916,214.9511301,6.994881121,projected,mmol m-2 s-1
133,hakea prostrata,west,w,0.073945593,194.2022876,4.065746791,projected,mmol m-2 s-1
137,hakea teretifolia,blue mountains,w,0.390654,482.1424422,7.159769678,projected,mmol m-2 s-1
141,hakea leucoptera,toorale,w,0.498932685,601.2366327,6.858197617,projected,mmol m-2 s-1
143,hakea leucoptera,wilcannia,d,0.176744164,597.8105001,4.858957704,projected,mmol m-2 s-1
148,hakea petiolaris,perth,d,0.032841334,167.5899526,1.28979528,projected,mmol m-2 s-1
149,hakea sericea,richmond,w,1.097696,361.7854611,7.544320432,projected,mmol m-2 s-1
151,hakea sericea,richmond,w,1.085321482,377.3654724,7.459271993,projected,mmol m-2 s-1
153,hakea lorea,western australia,w,0.123695487,523.3565465,6.801142682,projected,mmol m-2 s-1
154,hakea lorea,western australia,w,0.173803763,586.7287666,7.963536222,projected,mmol m-2 s-1
155,hakea dactyloides,barrier mountain,w,0.073878523,152.7170287,4.062059072,projected,mmol m-2 s-1
156,hakea dactyloides,barrier mountain,w,0.084222351,163.289,4.630793255,projected,mmol m-2 s-1
158,hakea dactyloides,barrier mountain,w,0.122607373,181.2608755,6.741314989,projected,mmol m-2 s-1
170,hakea propinqua,blue mountains,d,0.112569875,540.236987,4.126282469,projected,mmol m-2 s-1
172,hakea leucoptera,wilcannia,w,0.196565332,530.6303623,5.403870836,projected,mmol m-2 s-1
176,hakea prostrata,west,d,0.118177721,143.1607455,3.248879824,projected,mmol m-2 s-1
177,hakea prostrata,west,d,0.069644789,140.3369487,3.82927591,projected,mmol m-2 s-1
178,hakea megadenia,Friendly beaches Tasmania,w,0.892367445,512.3699784,8.177498984,projected,mmol m-2 s-1
183,hakea leucoptera,broken hill,w,0.279565563,330.2535208,5.123779716,projected,mmol m-2 s-1
184,hakea leucoptera,broken hill,w,0.56326989,370.3258963,4.424319966,projected,mmol m-2 s-1
