species,gmin,units,area
Rumex acetosa,13.92369813,mmol m-2 s-1,projected
Eriophorum angustifolium,8.599931201,mmol m-2 s-1,projected
Phalaris arundinacea,25.7997936,mmol m-2 s-1,projected
Molinia caerulea,51.9171983,mmol m-2 s-1,projected
Epilobium hirsutum,16.95058903,mmol m-2 s-1,projected
Filipendula ulmaria,30.59653553,mmol m-2 s-1,projected
