"species","gmin","datasource","citation"
"Ficus curtipes",0.71,"Hao2010",""
"Ficus esquiroliana",7.65,"Hao2010",""
"Ficus hispida",16.76,"Hao2010",""
"Ficus racemosa",7.26,"Hao2010",""
"Ficus religosa",4.3,"Hao2010",""
"Ficus semicordata",12.55,"Hao2010",""
"Ficus tinctoria",1.83,"Hao2010",""
"Picea abies",2.65875238095238,"heinsoo1998","Heinsoo and Koppel (1998)"
"Sabal palmetto",0.45,"holbrook1992","Holbrook and Sinclair (1992)"
"Berberis microphylla",1.65,"Iogna2013",""
"Colliguaja integerrima",2.65,"Iogna2013",""
"Glycine argyrea",13.94,"James2008",""
"Glycine canescens",12.3,"James2008",""
"Glycine clandestina",9.84,"James2008",""
"Glycine latifolia",11.48,"James2008",""
"Glycine max",12.8443103448276,"James2008",""
"Glycine soja",9.43,"James2008",""
"Glycine tabacina",5.05666666666667,"James2008",""
"Glycine tomentella",34.03,"James2008",""
"Agastachys odorata",5.046677662,"jordan2007","Jordan and Brodribb (2007)"
"Fagus sylvatica",3.4522,"kerstiens1989","Kerstiens and Lendzian (1989)"
"Acer pseudoplatanus",3.157,"kerstiens1995","Kerstiens (1995)"
"Betula pubescens",2.9356,"kerstiens1995","Kerstiens (1995)"
"Corylus avellana",3.2062,"kerstiens1995","Kerstiens (1995)"
"Fagus sylvatica",7.3882,"kerstiens1995","Kerstiens (1995)"
"Prunus avium",3.0094,"kerstiens1995","Kerstiens (1995)"
"Allium ursinum",18.04,"koerner0000","Koerner, unpublished."
"Asarum europaeum",6.068,"koerner0000","Koerner, unpublished."
"Caltha palustris",22.96,"koerner0000","Koerner, unpublished."
"Carex curvula",29.52,"koerner0000","Koerner, unpublished."
"Convolvulus arvensis",6.806,"koerner0000","Koerner, unpublished."
"Diplotaxis tenuifolia",10.66,"koerner0000","Koerner, unpublished."
"Fagus sylvatica",3.362,"koerner0000","Koerner, unpublished."
"Festuca halleri",21.32,"koerner0000","Koerner, unpublished."
"Fraxinus excelsior",3.936,"koerner0000","Koerner, unpublished."
"Impatiens parviflora",22.14,"koerner0000","Koerner, unpublished."
"Juglans regia",3.362,"koerner0000","Koerner, unpublished."
"Laburnum anagyroides",20.5,"koerner0000","Koerner, unpublished."
"Ligustrum vulgare",5.412,"koerner0000","Koerner, unpublished."
"Oxalis acetosella",4.346,"koerner0000","Koerner, unpublished."
"Paeonia officinalis",8.2,"koerner0000","Koerner, unpublished."
"Phyllitis scolopendrium",8.2,"koerner0000","Koerner, unpublished."
"Pinus cembra",1.89717223650386,"koerner0000","Koerner, unpublished."
"Pinus sylvestris",3.16195372750643,"koerner0000","Koerner, unpublished."
"Prenanthes purpurea",4.51,"koerner0000","Koerner, unpublished."
"Prunus avium",0.246,"koerner0000","Koerner, unpublished."
"Pulmonaria officinalis",8.2,"koerner0000","Koerner, unpublished."
"Quercus robur",5.658,"koerner0000","Koerner, unpublished."
"Ruta graveolens",9.02,"koerner0000","Koerner, unpublished."
"Stachys recta",10.66,"koerner0000","Koerner, unpublished."
"Tilia cordata",5.986,"koerner0000","Koerner, unpublished."
"Triticum vulgaris",19.68,"koerner0000","Koerner, unpublished."
"Vaccinium myrtillus",6.232,"koerner0000","Koerner, unpublished."
"Vaccinium uliginosum",10.25,"koerner0000","Koerner, unpublished."
"Vicia sepum",5.412,"koerner0000","Koerner, unpublished."
"Zea mays",9.84,"koerner0000","Koerner, unpublished."
"Populus simonii",8.668045751,"Li2012",""
"Robinia pseudoacacia",11.9572721005,"Li2012",""
"hakea cinerea",7.42665306033333,"lopez0000","Lopez, unpublished."
"hakea dactyloides",3.63019275655556,"lopez0000","Lopez, unpublished."
"hakea elliptica",4.39167312633333,"lopez0000","Lopez, unpublished."
"hakea leucoptera",7.14473442277778,"lopez0000","Lopez, unpublished."
"hakea lorea",7.73925790866667,"lopez0000","Lopez, unpublished."
"hakea megadenia",8.17335358266667,"lopez0000","Lopez, unpublished."
"hakea petiolaris",2.246683754,"lopez0000","Lopez, unpublished."
"hakea propinqua",8.75761207966667,"lopez0000","Lopez, unpublished."
"hakea prostrata",5.782885426,"lopez0000","Lopez, unpublished."
"hakea salicifolia",7.8811772675,"lopez0000","Lopez, unpublished."
"hakea sericea",7.29184610666667,"lopez0000","Lopez, unpublished."
"hakea teretifolia",7.267341682,"lopez0000","Lopez, unpublished."
"hakea varia",7.575451031,"lopez0000","Lopez, unpublished."
"Pennisetum americanum",12.7,"muchow1989","Muchow and Sinclair (1989)"
"Sorghum bicolor",11.0263636363636,"muchow1989","Muchow and Sinclair (1989)"
"Zea mays",11.372,"muchow1989","Muchow and Sinclair (1989)"
"Camellia sinensis",11.986145,"nagarajah1979","Nagarajah (1979)"
"Epilobium hirsutum",16.95058903,"nazrul-islam1983","Nazrul-Islam (1983)"
"Eriophorum angustifolium",8.599931201,"nazrul-islam1983","Nazrul-Islam (1983)"
"Filipendula ulmaria",30.59653553,"nazrul-islam1983","Nazrul-Islam (1983)"
"Molinia caerulea",51.9171983,"nazrul-islam1983","Nazrul-Islam (1983)"
