species,leafage,gmin,area,units
Pinus engelmannii,current year,0.984,allsided,mmol m-2 s-1
Pinus engelmannii,one year old,2.87,allsided,mmol m-2 s-1
Abies lasiocarpa,current year,0.902,allsided,mmol m-2 s-1
Abies lasiocarpa,one year old,3.28,allsided,mmol m-2 s-1
